client_id,account_id,
1,8724731955,
1,1491989064,
1,287305149,
1,5376652437,
1,9614186178,
1,8974559268,
1,980191499,
2,8057793308,
2,6116657264,
2,7421451752,
2,5119661534,
3,5606024775,
3,1405792399,
3,2188890133,
3,6715177555,
3,7017008854,
3,2047410771,
3,1470504995,
4,4473647189,
4,8184612956,
4,3709430533,
4,8331196922,
4,7311441430,
4,9139420948,
4,6846270694,
5,374414130,
5,9239631224,
5,2004133484,
5,8723924487,
6,6533102627,
6,1203252958,
6,4021161031,
6,5126390175,
6,1074336451,
6,8389148416,
6,3510078932,
7,8204380961,
7,936440682,
7,8410434333,
7,4082552798,
7,7669236826,
7,1008340236,
7,1445991735,
8,757928908,
8,109525315,
9,3696248769,
9,5982914936,
9,7541983570,
9,6517611333,
10,5896510161,
10,7012967496,
10,8952177221,
10,3452368468,
10,9119143782,
10,35328673,
10,3050015080,
11,8365941229,
11,6979398786,
11,1877205049,
11,2206902878,
11,512171500,
11,2797271466,
11,3967122805,
12,8456279067,
12,7189128119,
12,1294695860,
12,8695107817,
13,6949764034,
13,7758268667,
14,4036316426,
14,6431038386,
14,4339554565,
14,1710329832,
15,7402947955,
15,2939856893,
15,3168051873,
15,4712930207,
15,8188003704,
15,6375216043,
15,3139337800,
16,3137540462,
16,5021785800,
16,1429354049,
16,3486760473,
16,5811321937,
16,1074859180,
16,6904668523,
17,2422360624,
17,2056215656,
17,3345407297,
17,4150879707,
17,9746384104,
17,6516739348,
17,4808614002,
18,1769527701,
18,2434664247,
18,3605396496,
18,9093411280,
18,7978501298,
18,7207395469,
18,8411678470,
19,5531320907,
19,715130861,
19,8820389620,
19,4773187916,
19,9200802467,
19,3582202830,
19,5704632509,
20,4834399445,
20,7132630507,
20,9734083970,
20,2283755888,
20,7166671719,
20,6577066451,
20,9334364016,
21,5935592628,
21,5931838828,
22,6488884693,
22,283212952,
22,5102544036,
22,6539698859,
22,3033453299,
22,3991935033,
22,2740260267,
23,7501327339,
23,5648718332,
23,3756980894,
23,1817675963,
24,8955442183,
24,749315581,
24,4755772092,
24,3811561430,
24,7470940363,
24,1054167985,
24,2865517114,
25,691501298,
25,9986667984,
25,3776976361,
25,8854146908,
25,3711169500,
25,6626359609,
25,8770181801,
26,5345734817,
26,3373148945,
26,6997024826,
26,9402994493,
26,5874369285,
26,2644081947,
26,5435316010,
27,6057444675,
27,6541552727,
27,9125487514,
27,7032135509,
27,4431474237,
27,3238526156,
27,6970509335,
28,1805171806,
28,1382513766,
28,3742406978,
28,4390278719,
28,5740702951,
28,1378784400,
28,4090925094,
29,2365007895,
29,1730350525,
29,2199795388,
29,3396853729,
30,9649321106,
30,5188677620,
30,3243896688,
30,9390718271,
30,3808941319,
30,8372035568,
30,4438681315,
31,9432190883,
31,7998453354,
31,7258656047,
31,6592322340,
31,4874746643,
31,3712660061,
31,7877782689,
32,6596655355,
32,5404023576,
32,9098323112,
32,4358383639,
33,4548607254,
33,7330940854,
33,128336607,
33,2466056232,
34,4988967549,
34,1319704443,
34,1448960940,
34,7837354873,
35,6904169843,
35,2225924818,
35,1915450576,
35,8047909179,
35,7326442087,
35,7018140784,
35,7141448090,
36,3386219618,
36,6961460093,
36,8341412096,
36,4038415588,
36,8957461886,
36,367406203,
36,2196677893,
37,4577188719,
37,7924551009,
37,6404844146,
37,6086421020,
37,6742623852,
37,9901680164,
37,8494878354,
38,4010009393,
38,7394937898,
38,4024921053,
38,2595670415,
39,8405472205,
39,1092702536,
39,8066286852,
39,482255721,
39,4680252319,
39,9069885740,
39,9629713976,
40,1119631775,
40,60718926,
40,6476585772,
40,9081133856,
41,2659616433,
41,9893340528,
41,2131820112,
41,4564291666,
41,7143169330,
41,9825818308,
41,3646682811,
42,5263982631,
42,1358482520,
42,3614082527,
42,3741000234,
42,1935297468,
42,385482166,
42,2597738775,
43,4121324384,
43,2852936829,
43,5984193868,
43,3658714253,
43,3644256410,
43,675669049,
43,1713426884,
44,3697901122,
44,9226756684,
44,4231385822,
44,7027106126,
44,2635590075,
44,9534729015,
44,2318701432,
45,5869654043,
45,8793643150,
45,4345338937,
45,9636503689,
45,6020722321,
45,4344759414,
45,9895324562,
46,4109732596,
46,4307611300,
47,9125822762,
47,7659097346,
47,6411045530,
47,2325150545,
47,96933227,
47,7147226223,
47,7401327478,
48,4512711928,
48,4045011140,
48,5042064131,
48,9665547827,
48,4383404858,
48,5959325606,
48,4696164729,
49,6679205752,
49,8965293680,
49,7155736136,
49,1738940565,
49,569955345,
49,8503465200,
